variant_name,node_id,canonical_name,full_graph_rank,stress_graph_rank,rank_delta,full_weighted_degree,stress_weighted_degree,degree_delta,full_betweenness,stress_betweenness,betweenness_delta
stress_context_graph,actor_l_lucullus,L. Lucullus,73,25,48,3,3,0.0,0.000022,0.000129,0.000107
stress_context_graph,actor_l_pontius,L. Pontius,74,26,48,3,3,0.0,0.000022,0.000129,0.000107
stress_context_graph,actor_p_scipio,P. Scipio,75,27,48,3,3,0.0,0.000022,0.000129,0.000107
stress_context_graph,actor_p_varius,P. Varius,26,28,-2,4,3,-1.0,0.000088,0.000129,0.000041
stress_context_graph,actor_brutus_albinus,Brutus Albinus,33,29,4,1,1,0.0,0.000000,0.000000,0.000000
stress_context_graph,actor_brutus_albinus_friends,Brutus Albinus friends,34,30,4,1,1,0.0,0.000000,0.000000,0.000000
stress_context_graph,actor_cato_the_younger,Cato the Younger,9,31,-22,3,1,-2.0,0.000088,0.000000,-0.000088
stress_context_graph,actor_p_sittius,P. Sittius,133,32,101,1,1,0.0,0.000000,0.000000,0.000000
stress_context_graph,actor_p_sulla,P. Sulla,81,33,48,2,1,-1.0,0.010331,0.000000,-0.010331
stress_context_graph,actor_friends_of_cato,friends of Cato,52,34,18,2,1,-1.0,0.000000,0.000000,0.000000
stress_context_graph,actor_balbus,Balbus,66,35,31,4,4,0.0,0.000000,0.001873,0.001873
stress_context_graph,actor_philotimus,Philotimus,24,36,-12,6,4,-2.0,0.000206,0.000574,0.000368
stress_context_graph,actor_c_scribonius_curio,C. Scribonius Curio,60,37,23,3,2,-1.0,0.004384,0.012387,0.008003
stress_context_graph,actor_cluvius_procurators,Cluvius procurators,65,38,27,3,3,0.0,0.000000,0.006129,0.006129
stress_context_graph,actor_oppius,Oppius,56,39,17,5,4,-1.0,0.000000,0.000000,0.000000
stress_context_graph,actor_plancus,Plancus,22,40,-18,5,3,-2.0,0.008209,0.010495,0.002286
stress_context_graph,actor_l_carpinatius,L. Carpinatius,49,41,8,3,2,-1.0,0.000059,0.000086,0.000027
stress_context_graph,actor_sicilian_tax_company,Sicilian tax company,50,42,8,3,2,-1.0,0.000059,0.000086,0.000027
stress_context_graph,actor_borrowers_under_verres_scheme,borrowers under Verres' scheme,15,43,-28,4,2,-2.0,0.000088,0.000086,-0.000002
stress_context_graph,actor_cornificius,Cornificius,54,44,10,4,3,-1.0,0.005121,0.006129,0.001008
stress_context_graph,actor_iunius,Iunius,55,45,10,4,3,-1.0,0.005121,0.006129,0.001008
stress_context_graph,actor_flaminius,Flaminius,57,46,11,4,3,-1.0,0.003170,0.001230,-0.001940
stress_context_graph,actor_senate,Senate,90,47,43,2,2,0.0,0.000000,0.012387,0.012387
stress_context_graph,actor_procuratores,procuratores,95,48,47,2,2,0.0,0.000000,0.012387,0.012387
stress_context_graph,actor_hermogenes,Hermogenes,86,49,37,3,3,0.0,0.000044,0.003232,0.003188
stress_context_graph,actor_q_paconius_lepta,Q. Paconius Lepta,87,50,37,2,2,0.0,0.000471,0.000774,0.000303
stress_context_graph,actor_p_iunius,P. Iunius,28,51,-23,2,1,-1.0,0.000000,0.000000,0.000000
stress_context_graph,actor_p_quinctius,P. Quinctius,29,52,-23,2,1,-1.0,0.000000,0.000000,0.000000
stress_context_graph,actor_roman_state,Roman state,30,53,-23,2,1,-1.0,0.000000,0.000000,0.000000
stress_context_graph,actor_scapula_heirs,Scapula heirs,31,54,-23,2,1,-1.0,0.000000,0.000000,0.000000
stress_context_graph,actor_p_valerius,P. Valerius,85,55,30,2,2,0.0,0.000132,0.004291,0.004158
stress_context_graph,actor_camillus,Camillus,64,56,8,4,3,-1.0,0.000047,0.000118,0.000071
stress_context_graph,actor_caesar,Caesar,10,57,-47,6,2,-4.0,0.023538,0.012387,-0.011151
